id,firstName,lastName,maidenName,age,gender,email,phone,username,birthDate,image,bloodGroup,height,weight,eyeColor,hair,ip,macAddress,university,bank,company,ein,ssn,userAgent,crypto,role,_extracted_at,_source,user_id,password_masked,first_name,last_name,full_name,address_line1,address_city,address_state,address_postal_code,address_lat,address_lng,phone_masked,sk_user,_transformed_at,_pipeline_version
1,Emily,Johnson,Smith,29,female,emily.johnson@x.dummyjson.com,+81 965-431-3024,emilys,1996-5-30,https://dummyjson.com/icon/emilys/128,O-,193.24,63.16,Green,"{'color': 'Brown', 'type': 'Curly'}",42.48.100.32,47:fa:41:18:ec:eb,University of Wisconsin--Madison,"{'cardExpire': '05/28', 'cardNumber': '3693233511855044', 'cardType': 'Diners Club International', 'currency': 'GBP', 'iban': 'GB74MH2UZLR9TRPHYNU8F8'}","{'department': 'Engineering', 'name': 'Dooley, Kozey and Cronin', 'title': 'Sales Manager', 'address': {'address': '263 Tenth Street', 'city': 'San Francisco', 'state': 'Wisconsin', 'stateCode': 'WI', 'postalCode': '37657', 'coordinates': {'lat': 71.814525, 'lng': -161.150263}, 'country': 'United States'}}",977-175,900-590-289,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",admin,2026-04-19T19:41:06.354173+00:00,https://dummyjson.com/users,1,**********,Emily,Johnson,Emily Johnson,626 Main Street,Phoenix,Mississippi,29112,-77.16213,-92.084824,+81 965-431-3024,3ebea778bceb2f43,2026-04-19T19:41:09.736559+00:00,1.0
2,Michael,Williams,,36,male,michael.williams@x.dummyjson.com,+49 258-627-6644,michaelw,1989-8-10,https://dummyjson.com/icon/michaelw/128,B+,186.22,76.32,Red,"{'color': 'Green', 'type': 'Straight'}",12.13.116.142,79:15:78:99:60:aa,Ohio State University,"{'cardExpire': '01/30', 'cardNumber': '3530633803003665', 'cardType': 'JCB', 'currency': 'USD', 'iban': 'DE26362283149158045865'}","{'department': 'Support', 'name': 'Spinka - Dickinson', 'title': 'Support Specialist', 'address': {'address': '395 Main Street', 'city': 'Los Angeles', 'state': 'New Hampshire', 'stateCode': 'NH', 'postalCode': '73442', 'coordinates': {'lat': 79.098326, 'lng': -119.624845}, 'country': 'United States'}}",912-602,108-953-962,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/97.0.1072.76 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",admin,2026-04-19T19:41:06.354173+00:00,https://dummyjson.com/users,2,************,Michael,Williams,Michael Williams,385 Fifth Street,Houston,Alabama,38807,22.815468,115.608581,+49 258-627-6644,d82b797a24348b94,2026-04-19T19:41:09.736559+00:00,1.0
3,Sophia,Brown,,43,female,sophia.brown@x.dummyjson.com,+81 210-652-2785,sophiab,1982-11-6,https://dummyjson.com/icon/sophiab/128,O-,177.72,52.6,Hazel,"{'color': 'White', 'type': 'Wavy'}",214.225.51.195,12:a3:d3:6f:5c:5b,Pepperdine University,"{'cardExpire': '10/27', 'cardNumber': '6011212053392887', 'cardType': 'Discover', 'currency': 'EUR', 'iban': 'DE12191213468288004835'}","{'department': 'Research and Development', 'name': 'Schiller - Zieme', 'title': 'Accountant', 'address': {'address': '1896 Washington Street', 'city': 'Dallas', 'state': 'Nevada', 'stateCode': 'NV', 'postalCode': '88511', 'coordinates': {'lat': 20.086743, 'lng': -34.577107}, 'country': 'United States'}}",963-113,638-461-822,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",admin,2026-04-19T19:41:06.354173+00:00,https://dummyjson.com/users,3,***********,Sophia,Brown,Sophia Brown,1642 Ninth Street,Washington,Alabama,32822,45.289366,46.832664,+81 210-652-2785,edbb9b822196248e,2026-04-19T19:41:09.736559+00:00,1.0
4,James,Davis,,46,male,james.davis@x.dummyjson.com,+49 614-958-9364,jamesd,1979-5-4,https://dummyjson.com/icon/jamesd/128,AB+,193.31,62.1,Amber,"{'color': 'Blonde', 'type': 'Straight'}",101.118.131.66,10:7d:df:1f:97:58,University of Southern California,"{'cardExpire': '07/30', 'cardNumber': '5303440212268149', 'cardType': 'Mastercard', 'currency': 'CAD', 'iban': 'DE01300746880579852937'}","{'department': 'Support', 'name': 'Pagac and Sons', 'title': 'Research Analyst', 'address': {'address': '1622 Lincoln Street', 'city': 'Fort Worth', 'state': 'Pennsylvania', 'stateCode': 'PA', 'postalCode': '27768', 'coordinates': {'lat': 54.91193, 'lng': -79.498328}, 'country': 'United States'}}",904-810,116-951-314,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",admin,2026-04-19T19:41:06.354173+00:00,https://dummyjson.com/users,4,**********,James,Davis,James Davis,238 Jefferson Street,Seattle,Pennsylvania,68354,16.782513,-139.34723,+49 614-958-9364,627387cf5b747609,2026-04-19T19:41:09.736559+00:00,1.0
5,Emma,Miller,Johnson,31,female,emma.miller@x.dummyjson.com,+91 759-776-1614,emmaj,1994-6-13,https://dummyjson.com/icon/emmaj/128,AB-,192.8,63.62,Green,"{'color': 'White', 'type': 'Straight'}",224.126.22.183,32:b9:7e:8d:f5:e8,Northeastern University,"{'cardExpire': '07/30', 'cardNumber': '5237188057591130', 'cardType': 'Mastercard', 'currency': 'NZD', 'iban': 'DE19182355652037133559'}","{'department': 'Human Resources', 'name': 'Graham - Gulgowski', 'title': 'Quality Assurance Engineer', 'address': {'address': '1460 Sixth Street', 'city': 'San Antonio', 'state': 'Idaho', 'stateCode': 'ID', 'postalCode': '21965', 'coordinates': {'lat': 44.346545, 'lng': -26.944701}, 'country': 'United States'}}",403-505,526-210-885,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0,"{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",admin,2026-04-19T19:41:06.354173+00:00,https://dummyjson.com/users,5,*********,Emma,Miller,Emma Miller,607 Fourth Street,Jacksonville,Colorado,26593,0.505589,-157.43281,+91 759-776-1614,8d4ec5a3fd9e468e,2026-04-19T19:41:09.736559+00:00,1.0
6,Olivia,Wilson,,23,female,olivia.wilson@x.dummyjson.com,+91 607-295-6448,oliviaw,2002-4-20,https://dummyjson.com/icon/oliviaw/128,B+,182.61,58.0,Hazel,"{'color': 'Gray', 'type': 'Curly'}",249.178.112.207,9c:7f:ea:34:18:19,University of North Carolina--Chapel Hill,"{'cardExpire': '06/30', 'cardNumber': '376320072452632', 'cardType': 'American Express', 'currency': 'NZD', 'iban': 'DE21153814367894194071'}","{'department': 'Product Management', 'name': 'Pfannerstill Inc', 'title': 'Research Analyst', 'address': {'address': '425 Sixth Street', 'city': 'Indianapolis', 'state': 'Oklahoma', 'stateCode': 'OK', 'postalCode': '74263', 'coordinates': {'lat': 74.986644, 'lng': -132.916888}, 'country': 'United States'}}",921-709,836-772-168,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Safari/605.1.15","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",moderator,2026-04-19T19:41:06.354173+00:00,https://dummyjson.com/users,6,***********,Olivia,Wilson,Olivia Wilson,547 First Street,Fort Worth,Tennessee,83843,75.32627,-26.15285,+91 607-295-6448,a62d73428f33fafd,2026-04-19T19:41:09.736559+00:00,1.0
7,Alexander,Jones,,39,male,alexander.jones@x.dummyjson.com,+61 260-824-4986,alexanderj,1986-10-20,https://dummyjson.com/icon/alexanderj/128,AB-,153.89,77.42,Blue,"{'color': 'White', 'type': 'Straight'}",166.204.84.32,d2:64:58:2d:1c:46,University of Illinois--Urbana-Champaign,"{'cardExpire': '12/29', 'cardNumber': '5189302549548693', 'cardType': 'Mastercard', 'currency': 'PKR', 'iban': 'DE67517655968963441488'}","{'department': 'Engineering', 'name': 'Dickens - Beahan', 'title': 'Web Developer', 'address': {'address': '996 Eighth Street', 'city': 'Washington', 'state': 'Kansas', 'stateCode': 'KS', 'postalCode': '27858', 'coordinates': {'lat': -75.462366, 'lng': -128.025697}, 'country': 'United States'}}",638-127,722-993-925,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",moderator,2026-04-19T19:41:06.354173+00:00,https://dummyjson.com/users,7,**************,Alexander,Jones,Alexander Jones,664 Maple Street,Indianapolis,Delaware,86684,35.289664,7.063255,+61 260-824-4986,b6541fd1fb8d4480,2026-04-19T19:41:09.736559+00:00,1.0
8,Ava,Taylor,,28,female,ava.taylor@x.dummyjson.com,+1 458-853-7877,avat,1997-8-25,https://dummyjson.com/icon/avat/128,AB-,168.47,57.08,Hazel,"{'color': 'Red', 'type': 'Kinky'}",150.73.197.233,8d:2e:c2:d6:e7:a8,University of Wisconsin--Madison,"{'cardExpire': '08/30', 'cardNumber': '5349974103330333', 'cardType': 'Mastercard', 'currency': 'EUR', 'iban': 'FR94ZM2MMGL1EVYQE1ZLCVCFH83'}","{'department': 'Marketing', 'name': 'Nikolaus Inc', 'title': 'Chief Executive Officer', 'address': {'address': '930 Lincoln Street', 'city': 'Austin', 'state': 'Colorado', 'stateCode': 'CO', 'postalCode': '47592', 'coordinates': {'lat': 87.970083, 'lng': -42.769351}, 'country': 'United States'}}",297-762,257-419-109,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",moderator,2026-04-19T19:41:06.354173+00:00,https://dummyjson.com/users,8,********,Ava,Taylor,Ava Taylor,1197 First Street,Fort Worth,Rhode Island,24771,-81.194833,-87.948158,+1 458-853-7877,09e92d65bbff5a53,2026-04-19T19:41:09.736559+00:00,1.0
9,Ethan,Martinez,,34,male,ethan.martinez@x.dummyjson.com,+92 933-608-5081,ethanm,1991-2-12,https://dummyjson.com/icon/ethanm/128,AB+,159.19,68.81,Hazel,"{'color': 'Purple', 'type': 'Curly'}",63.191.127.71,59:e:9e:e3:29:da,Syracuse University,"{'cardExpire': '10/27', 'cardNumber': '3598603288061479', 'cardType': 'JCB', 'currency': 'GBP', 'iban': 'GB26PND7D83JTW4HL6LZ71'}","{'department': 'Support', 'name': 'Gorczany - Gottlieb', 'title': 'Legal Counsel', 'address': {'address': '1597 Oak Street', 'city': 'Chicago', 'state': 'Florida', 'stateCode': 'FL', 'postalCode': '28100', 'coordinates': {'lat': -67.45208, 'lng': -23.209886}, 'country': 'United States'}}",790-434,569-650-348,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",moderator,2026-04-19T19:41:06.354173+00:00,https://dummyjson.com/users,9,**********,Ethan,Martinez,Ethan Martinez,466 Pine Street,San Antonio,Louisiana,72360,74.074918,-25.312703,+92 933-608-5081,697dcb7408f92cf8,2026-04-19T19:41:09.736559+00:00,1.0
10,Isabella,Anderson,Davis,32,female,isabella.anderson@x.dummyjson.com,+49 770-658-4885,isabellad,1993-6-10,https://dummyjson.com/icon/isabellad/128,A-,150.56,50.1,Brown,"{'color': 'Blonde', 'type': 'Curly'}",114.9.114.205,b1:b0:d0:a2:82:80,California Institute of Technology (Caltech),"{'cardExpire': '03/30', 'cardNumber': '3602093733952858', 'cardType': 'Diners Club International', 'currency': 'USD', 'iban': 'DE12934874962442340025'}","{'department': 'Marketing', 'name': 'Pollich - Hilpert', 'title': 'Chief Financial Officer', 'address': {'address': '1029 Adams Street', 'city': 'San Diego', 'state': 'Maryland', 'stateCode': 'MD', 'postalCode': '63847', 'coordinates': {'lat': -25.843393, 'lng': -62.692681}, 'country': 'United States'}}",127-297,902-438-728,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36","{'coin': 'Bitcoin', 'wallet': '0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a', 'network': 'Ethereum (ERC20)'}",moderator,2026-04-19T19:41:06.354173+00:00,https://dummyjson.com/users,10,*************,Isabella,Anderson,Isabella Anderson,1964 Oak Street,New York,Utah,89352,41.331324,151.782727,+49 770-658-4885,b42d1df77711b5d4,2026-04-19T19:41:09.736559+00:00,1.0
